"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78"
"gene1" -1.037213 0.362562 -0.244804 1.272025 -1.283569 -1.630521 -0.537055 -0.048706 -1.131462 0.523708 -0.497876 -1.051714 -1.11886 0.001627 -1.033617 -0.769772 -0.76494 -0.859884 -0.550989 0.772663 -0.845821 -0.990359 0.078863 1.093566 0.009519 0.63739 -1.026728 0.056328 0.009305 -0.627242 -0.279979 -1.330002 -1.220708 -1.216079 0.420358 -0.46579 -1.087697 -1.158767 -0.675972 -2.094366 -1.189638 -0.689232 0.430772 1.306169 0.935457 -0.434829 1.726146 1.290896 1.262773 1.86155 0.343539 -0.541337 0.818774 0.107019 -0.088334 0.576579 1.166481 2.655951 0.556454 -0.504237 -0.238634 -0.495205 1.105543 -1.59888 0.882433 1.024104 1.078532 0.860465 0.458708 -0.020133 0.456168 2.626923 0.211554 1.366255 0.424505 -0.69003 1.210722 0.088596
"gene2" 0.901652 0.455974 0.925019 0.888345 -2.164279 0.57963 -0.00989 -0.808672 0.231742 0.486251 -0.265992 -0.02239 1.673141 0.479374 1.187716 2.072053 0.427196 -0.527514 0.92995 -0.842463 0.735074 -0.061198 0.838037 0.587509 0.818815 1.635167 0.721835 0.538395 1.328918 0.157608 0.097302 -0.552138 0.836833 0.812009 0.867972 0.535129 0.671636 -0.063265 -0.976379 -0.09061 -0.220532 0.881626 1.559847 -0.224538 0.363987 0.70725 -0.423389 -1.172217 -0.105966 -1.889682 -0.437273 -0.0163 -1.677847 -3.326158 1.797148 -0.939989 -1.655894 -0.587635 -0.012387 0.384625 -1.024848 0.301836 0.903108 -0.60546 -0.727666 -0.389416 -0.632673 -1.864359 -1.365979 0.210314 -0.506852 -0.045101 -0.624992 -1.198138 -0.567625 -0.712534 -1.444341 1.254559
"gene3" 1.650632 -0.64947 0.425358 1.323403 -1.290842 2.158108 -0.037051 -0.071389 1.254306 0.094478 -0.593495 -0.278489 -0.441858 2.564178 -0.551803 -0.722155 -0.147899 0.188872 -0.466411 0.116608 0.651755 -0.654691 1.042146 -0.197371 0.915485 2.068065 0.770109 -0.16574 0.994429 1.227362 2.419522 1.601271 1.512458 -0.460068 -1.164042 -0.025822 -0.852676 0.494166 1.649068 -0.424847 0.900438 1.844597 -0.35525 -1.107571 -0.525654 -0.670822 -0.185064 -0.772385 -0.75541 -0.755842 0.095361 -0.629017 -2.103364 1.223506 0.181015 -0.363609 -0.854546 -1.3266 -0.213793 0.286524 -0.536947 -0.15962 -1.208936 -0.968484 -0.570695 -0.30091 -0.420831 0.418287 -1.020802 -0.637739 -0.18474 -0.55913 0.269342 -0.871156 -1.219272 0.885607 -1.374609 -1.377537
"gene4" -0.760834 1.188322 -0.067654 -0.501102 -0.718703 -0.925095 -1.175338 1.262292 -0.55189 -0.868602 -1.342859 0.680146 -0.852021 -0.567015 0.396604 -0.744866 -1.34623 -0.917413 -0.722986 1.743132 -1.014873 -0.657959 -1.319076 0.589573 -0.905864 0.107247 -0.419952 -0.377596 -0.502025 -0.672959 -0.061756 0.179641 -0.506751 -0.303181 -0.684409 -0.595311 0.607629 -0.927834 -0.588336 -0.888283 -0.572758 -0.781061 -0.922807 0.820142 -1.257234 0.828281 -0.487338 2.005318 -0.057302 0.94288 -0.360285 -0.208912 1.577757 0.76595 -0.094452 -0.707265 -0.029671 -0.443556 0.272693 0.719341 1.925269 -0.302752 -0.635298 -0.016771 0.282135 1.016351 1.7908 3.122384 1.667286 -0.264064 2.900013 -0.260197 0.395569 2.053661 -0.41735 -0.435525 -0.239619 1.142577
"gene5" -1.43858 -0.657421 0.226655 0.27265 -0.146738 -0.294042 -0.827585 0.899645 0.189577 0.303105 -0.013 0.797809 0.437159 -1.123003 1.6202 0.667978 -1.92797 -1.097112 -2.733803 0.879112 -2.397554 -0.911688 -1.138642 0.605704 -0.867632 -0.861078 -0.887628 -0.943978 -0.45334 -1.082698 -1.991953 -0.587622 -1.181724 0.448328 -0.330542 -0.506252 1.581153 0.065415 -1.083424 0.821465 -0.443963 -0.557936 -0.409653 0.02483 0.549188 -0.062853 -0.097369 2.533392 0.429879 0.934496 0.173777 -0.727304 1.232683 -0.046991 0.541738 0.212115 2.509373 0.950619 0.007465 -0.11655 -0.690312 0.741758 0.99607 0.617748 0.4587 0.914628 0.769496 0.739358 0.137244 0.190371 2.443563 0.864596 -0.755736 0.366 -0.425573 0.66887 -0.222697 0.218033
"gene6" 1.800588 -0.237101 0.520094 0.108662 0.255326 0.884674 2.94854 -1.120977 0.854402 0.710363 1.194147 -0.924512 -0.040167 0.935708 -1.600344 -0.906853 2.001396 0.204603 1.477359 -0.999757 2.238718 0.764362 0.720199 -0.617496 -0.474021 0.886392 1.819841 -0.97353 1.068494 1.522561 -0.465715 -0.434097 -0.032992 -0.575021 -0.216932 1.74865 0.345946 0.308327 1.378321 -1.072605 1.225453 0.62554 0.219977 -1.230059 -0.51409 0.609521 -0.450695 -0.719674 -0.149917 -0.945127 0.250814 -1.221544 -0.897205 -1.837217 -1.162702 -1.273019 -0.774639 -0.540882 -0.731772 -0.513409 0.547954 -0.581464 -0.517095 -0.604952 -0.686468 -0.977223 -0.007864 0.458998 -0.515223 -0.202138 -1.161851 -0.4888 -0.561859 0.416696 -1.326859 1.237566 -0.68447 -0.319851
"gene7" -1.267681 -0.327311 0.110013 0.424929 0.128728 -0.504303 -1.10059 1.198802 0.394728 -0.194306 -0.393297 -0.766641 1.571755 -1.499031 1.041807 0.520785 -1.688283 -1.458959 -1.798063 0.667968 -1.537959 -0.521011 -1.524482 0.486717 -0.881977 -0.825388 -0.926662 -0.805233 -0.724106 -1.420576 -1.407989 -0.154099 -0.004308 0.31179 -0.040031 -0.500408 0.993751 -0.233901 -0.70191 0.460015 -0.105763 -1.548312 -0.128472 -0.013747 0.337287 1.56682 -0.491946 3.462669 0.876101 1.216128 -0.441555 0.979693 1.645839 -0.197774 0.967884 -0.383132 1.978993 0.575024 -0.126117 -0.087869 -0.395355 -0.084951 -0.233141 0.401158 0.052657 0.067054 0.996402 0.070547 0.24378 1.284578 2.705366 -0.320754 -1.086945 0.623948 -0.414321 0.347741 -0.187302 0.744506
"gene8" 0.386964 1.825513 1.880131 0.624846 -0.720138 1.976264 1.077675 -0.382842 0.368588 1.120036 -0.202611 -0.945415 2.331962 -0.062507 1.617629 -1.402979 1.705206 -0.036644 0.209431 -0.73643 2.333512 1.124901 -0.489389 -0.917642 2.625804 0.128729 1.220009 0.044328 -0.64585 0.440575 -0.630901 -0.347283 -0.288616 0.110612 1.893506 -0.371712 -0.618993 -0.369417 0.768145 -0.10341 0.423466 0.656825 -0.583884 -0.353505 0.128995 -0.840176 -0.63484 -0.980069 1.045812 -1.03932 -1.900776 -0.59078 -0.558787 0.297921 1.327336 -0.866534 -0.461092 -0.437615 -0.424112 0.054573 0.170451 -0.186038 0.346818 -0.85491 -1.467533 -0.76822 -1.89898 -0.56455 0.178272 -0.285084 -0.495565 -0.212731 -0.937711 -1.296729 -0.292974 -0.096388 -1.143373 -0.999777
"gene9" -1.716406 -0.205971 -0.751024 0.316551 -0.879072 -1.143624 -1.681307 0.321406 -0.513059 -0.039351 0.305455 1.05541 1.11728 -1.958982 1.212467 1.238157 -0.848166 -2.074813 -1.793042 0.839585 -1.586675 -0.24148 -1.313393 0.617494 -0.081003 -0.480013 -2.202007 -1.107657 -0.462041 -2.001775 -1.142766 0.583777 0.061483 1.094628 0.529034 -0.536729 0.104861 0.248281 -0.773329 1.071603 -0.305787 -2.929644 1.074018 0.359695 -0.184522 -0.224567 0.948763 1.249326 0.667268 0.545498 0.065004 -0.061018 0.29652 0.110651 0.860217 0.75321 1.731257 1.144384 -0.475669 -0.209287 -0.481832 0.746749 0.996556 0.651954 0.888043 0.699152 0.749239 1.031077 0.559655 0.074839 1.079248 0.536303 -1.019737 0.846862 -0.04113 0.849198 0.710214 0.524508
"gene10" 0.739581 1.682856 0.002071 0.769593 -0.865562 0.42016 0.485349 -0.797228 0.762948 0.636272 0.873393 0.58972 -0.337756 0.290565 2.331847 0.600009 -0.328929 0.95152 -0.022802 -0.515517 0.256644 0.844671 1.503431 -2.073052 -0.761738 1.390244 0.724571 1.081809 0.379299 -0.216395 0.102347 0.577411 0.851027 -0.059143 0.32658 0.169289 0.675813 -0.164694 0.711258 0.081087 0.579412 0.849041 0.877926 -0.369203 -0.940552 0.951407 -1.355855 -1.480166 0.432085 -1.101803 -2.09465 -0.356266 -0.349571 -2.536217 0.951567 -0.748708 -0.885028 0.289803 -0.265924 0.719036 -0.52506 -0.854374 1.071033 0.222538 -0.5121 -2.116692 -2.250899 -2.186198 -0.092931 0.334118 -0.6932 -0.632022 0.355219 -1.858452 -0.709602 1.042167 0.261489 1.310078
