S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
211316_x_at	193.7	131	287	187.8	201.9	314.9	501.1	340.1	580.7	333.1
201947_s_at	905.1	1268	633.6	623.2	988.6	813.7	647.7	808.5	703.9	473.5
208018_s_at	77.8	48.1	275.2	84.1	57.9	78.5	145.6	38.2	102.6	131.7
208884_s_at	164.3	157.1	280.7	297.8	238.1	171.7	243.9	171.6	168.3	73.7
218251_at	251.2	250.4	205.1	129.8	256.7	189.9	199.2	329.2	316.7	542.1
220712_at	165.8	112.9	49.7	113.4	103	123	143.9	111.6	69.2	159.5
34764_at	46.9	56.2	36.4	74.6	81.1	100.1	43.3	74	56.4	68.9
217754_at	269.2	176.1	314	137.5	269.6	177.7	107.6	176.7	98.4	146
221938_x_at	203.9	197.8	189.6	141.2	108	221.3	205.7	180.1	112.4	278
209492_x_at	711.7	787.6	652.4	921.1	863.6	1129.2	789.1	999.6	805.9	1201.3
211596_s_at	142.5	211.8	147.6	214.8	132.2	135	90.2	116.1	208.4	163.9
221925_s_at	78.5	103	130	157.3	116.4	137	133.2	85.7	148.9	29.6
200804_at	3544.6	3120.1	2430.5	2761.5	2721.3	2328.2	2212.7	2403.2	2397	1655.6
206529_x_at	17.3	22.5	27.4	31.9	1.3	1.8	336.8	16.3	68.3	33
213224_s_at	37.7	60	48.3	83.9	104.6	12	71	28.3	77.6	7.5
215628_x_at	315.7	370.5	396.1	334	321.9	361.3	331.8	380.9	342.2	558.3
211362_s_at	56	56.4	84.3	19.7	146.9	63.8	34.1	50.2	35.3	69
221058_s_at	64.2	79.6	97.8	89.4	135.4	49.5	81	126.8	39	31.2
210381_s_at	72.8	65	31.8	74.4	64.7	124.3	32.4	15.5	80.9	84.6
216989_at	7.1	36.3	24.1	25.3	45.6	54.4	7.8	54.6	5.5	16.8
